Distance (Ã…),Hole Transfer Integral (eV),Electron Transfer Integral (eV)
8.0,0.087,0.083
8.05,0.08,0.078
8.1,0.074,0.073
8.15,0.068,0.069
8.2,0.062,0.064
8.25,0.057,0.06
8.3,0.052,0.056
8.35,0.048,0.052
8.4,0.044,0.048
8.45,0.04,0.045
8.5,0.036,0.041
8.55,0.033,0.038
8.6,0.03,0.035
8.65,0.027,0.032
8.7,0.024,0.029
8.75,0.022,0.027
8.8,0.02,0.024
8.85,0.018,0.022
8.9,0.016,0.02
8.95,0.014,0.018
9.0,0.013,0.017
9.05,0.012,0.015
9.1,0.01,0.013
9.15,0.009,0.012
9.2,0.008,0.011
9.25,0.007,0.01
9.3,0.007,0.009
9.35,0.006,0.008
9.4,0.005,0.007
9.45,0.005,0.006
9.5,0.004,0.005
9.55,0.004,0.005
9.6,0.003,0.004
9.65,0.003,0.004
9.7,0.003,0.003
9.75,0.002,0.003
9.8,0.002,0.003
9.85,0.002,0.002
9.9,0.002,0.002
9.95,0.001,0.002
10.0,0.001,0.002
10.05,0.001,0.001
10.1,0.001,0.001
10.15,0.001,0.001
10.2,0.001,0.001
10.25,0.001,0.001
10.3,0.001,0.001
10.35,0.001,0.001
10.4,0.001,0.0
10.45,0.0,0.0
10.5,0.0,0.0
10.55,0.0,0.0
10.6,0.0,0.0
10.65,0.0,0.0
10.7,0.0,0.0
10.75,0.0,0.0
10.8,0.0,0.0
10.85,0.0,0.0
10.9,0.0,0.0
10.95,0.0,0.0
11.0,0.0,0.0
11.05,0.0,0.0
11.1,0.0,0.0
11.15,0.0,0.0
11.2,0.0,0.0
11.25,0.0,0.0
11.3,0.0,0.0
11.35,0.0,0.0
11.4,0.0,0.0
11.45,0.0,0.0
11.5,0.0,0.0
11.55,0.0,0.0
11.6,0.0,0.0
11.65,0.0,0.0
11.7,0.0,0.0
11.75,0.0,0.0
11.8,0.0,0.0
11.85,0.0,0.0
11.9,0.0,0.0
11.95,0.0,0.0
